source_workbook,source_sheet,source_row,batch,basket,category,semester,course_code_raw,course_code,course_code_status,course_title_raw,course_title,prerequisite_raw,prerequisite,prerequisite_status,lecture_hours,tutorial_hours,practical_hours,credits
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,11,2022,B2,Foundation,S1,PSYC101/ECON101,PSYC101/ECON101,recorded,Introduction to Psychology/Introduction to Economics,Introduction to Psychology/Introduction to Economics,NIL,Nil,explicit_none,2.0,1.0,0.0,3.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,12,2022,B3,Program CORE,S1,DATA130,DATA130,recorded,Computational Thinking,Computational Thinking,NIL,Nil,explicit_none,2.0,0.0,2.0,3.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,12,2022,B3,Program CORE,S2,COMP201,COMP201,recorded,Data Structures,Data Structures,NIL,Nil,explicit_none,3.0,0.0,2.0,4.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,12,2022,B3,Program CORE,S3,COMP203,COMP203,recorded,Analysis of Algorithms,Analysis of Algorithms,COMP201,COMP201,recorded,3.0,0.0,2.0,4.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,12,2022,B3,Program CORE,S4,COMP205,COMP205,recorded,Object Oriented Programming,Object Oriented Programming,NIL,Nil,explicit_none,2.0,0.0,2.0,3.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,12,2022,B3,Program CORE,S5,COMP208,COMP208,recorded,Networks,Networks,NIL,Nil,explicit_none,3.0,0.0,2.0,4.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,12,2022,B3,Program CORE,S7,COMP302,COMP302,recorded,Internet of Things,Internet of Things,"COMP132, COMP201, COMP206, COMP208, COMP301","COMP132, COMP201, COMP206, COMP208, COMP301",recorded,0.0,0.0,4.0,2.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,13,2022,B3,Program CORE,S2,MATH205,MATH205,recorded,Statistics with R,Statistics with R,MATH202,MATH202,recorded,2.0,0.0,2.0,3.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,13,2022,B3,Program CORE,S3,COMP202,COMP202,recorded,Theoretical Computer Science,Theoretical Computer Science,NIL,Nil,explicit_none,3.0,1.0,0.0,4.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,13,2022,B3,Program CORE,S4,COMP204,COMP204,recorded,Digital Design and Computer Organization,Digital Design and Computer Organization,NIL,Nil,explicit_none,3.0,1.0,0.0,4.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,13,2022,B3,Program CORE,S5,COMP207,COMP207,recorded,Operating Systems,Operating Systems,NIL,Nil,explicit_none,2.0,0.0,2.0,3.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,13,2022,B3,Program CORE,S6,COMP206,COMP206,recorded,Microprocessors and Computer Architecture,Microprocessors and Computer Architecture,"COMP204, COMP207","COMP204, COMP207",recorded,3.0,0.0,2.0,4.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,14,2022,B3,Program CORE,S4,COMP301,COMP301,recorded,Artificial Intelligence,Artificial Intelligence,NIL,Nil,explicit_none,3.0,0.0,2.0,4.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,15,2022,B3,Program CORE,S4,COMP209,COMP209,recorded,Databases Management,Databases Management,NIL,Nil,explicit_none,3.0,0.0,2.0,4.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,16,2022,B4,Program HONORS,S2,DATA201,DATA201,recorded,Foundations to Data Science,Foundations to Data Science,NIL,Nil,explicit_none,2.0,0.0,2.0,3.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,16,2022,B4,Program HONORS,S3,DATA202,DATA202,recorded,Exploratory Data Analysis,Exploratory Data Analysis,"DATA201, MATH203","DATA201, MATH203",recorded,2.0,0.0,2.0,3.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,16,2022,B4,Program HONORS,S4,MATH301,MATH301,recorded,Optimization Techniques for Data Science,Optimization Techniques for Data Science,MATH201,MATH201,recorded,3.0,1.0,0.0,4.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,16,2022,B4,Program HONORS,S5,DATA 301,DATA301,recorded,Machine Learning,Machine Learning,"DATA202, MATH301","DATA202, MATH301",recorded,2.0,0.0,4.0,4.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,16,2022,B4,Program HONORS,S6,DATA302,DATA302,recorded,Deep Learning,Deep Learning,DATA301,DATA301,recorded,2.0,0.0,4.0,4.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,17,2022,B4,Program HONORS,S5,DATA 207,DATA207,recorded,Human Centric AI,Human Centric AI,COMP210/COMP301,COMP210/COMP301,recorded,1.0,0.0,2.0,2.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,18,2022,B5,Specialization Tracks,S5,MATH401/ COMP401,MATH401/COMP401,recorded,SPT-Course #1-Probabilistic Graph Models LTP: 3-0-2 /Web Framework LTP: 2-0-4,SPT-Course #1-Probabilistic Graph Models LTP: 3-0-2 /Web Framework LTP: 2-0-4,NIL/NIL,NIL/NIL,recorded,2.0,0.0,4.0,4.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,18,2022,B5,Specialization Tracks,S6,DATA402/ DATA406,DATA402/DATA406,recorded,SPT-Course #2 (Advanced Visualization and Storytelling/Big Data Framework),SPT-Course #2 (Advanced Visualization and Storytelling/Big Data Framework),DATA301/NIL,DATA301/NIL,recorded,2.0,0.0,4.0,4.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,18,2022,B5,Specialization Tracks,S7,DATA403/ COMP402,DATA403/COMP402,recorded,SPT-Course #3 (Natural Language Processing / Software Architecture and Deployments),SPT-Course #3 (Natural Language Processing / Software Architecture and Deployments),"DATA302/COMP205, COMP401","DATA302/COMP205, COMP401",recorded,2.0,0.0,4.0,4.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,19,2022,B5,Specialization Tracks,S5,COMP401,COMP401,recorded,,,,,not_recorded,,,,
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,19,2022,B5,Specialization Tracks,S7,DATA404,DATA404,recorded,SPT-Course #4 (Multi Modal Learning / Cloud Computing),SPT-Course #4 (Multi Modal Learning / Cloud Computing),DATA302,DATA302,recorded,2.0,0.0,4.0,4.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,20,2022,B5,Specialization Tracks,S7,DATA405,DATA405,recorded,SPT-Course #5 (Reinforcement Learning/ Cognitive Computing),SPT-Course #5 (Reinforcement Learning/ Cognitive Computing),"MATH202,MATH204","MATH202, MATH204",recorded,2.0,0.0,4.0,4.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,21,2022,B6,Open/Minor,S3,,,missing_in_source,Minor/Open (#1 Course),Minor/Open (#1 Course),,,not_recorded,4.0,0.0,0.0,4.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,21,2022,B6,Open/Minor,S4,,,missing_in_source,Minor/Open (#2 Course),Minor/Open (#2 Course),,,not_recorded,4.0,0.0,0.0,4.0
Semester_Spread_Structures_Sept_2026(3).xlsx,Sem Spread BTECH-2022,21,2022,B6,Open/Minor,S5,,,missing_in_source,Minor/Open (#3 Course),Minor/Open (#3 Course),,,not_recorded,4.0,0.0,0.0,4.0
