course_id,alias,normalized_alias,canonical_title,course_code,source_tables
C_db3407b31f,Financial and Management Accounting,financial and management accounting,Financial and Management Accounting (FAMA),,minor
C_75690c886f,Foundation Seminar,foundation seminar,Foundation Seminar,SLAD207,"course_master,semester"
C_6e4ad97869,Foundation of Marketing Management,foundation of marketing management,Foundation of Marketing Management,MGMT328,minor
C_84413b85db,Foundations of Marketing Management,foundations of marketing management,Foundations of Marketing Management,MGMT328,minor
C_5f69da537f,Foundations to Data Science,foundations to data science,Foundations to Data Science,DATA201,"course_master,semester"
C_9ab9bf69d8,Frames and Frequencies,frames and frequencies,Frames and Frequencies,CDES218,minor
C_350181068d,Fundamentals of Indian Constitution and Human Rights,fundamentals of indian constitution and human rights,Fundamentals of Indian Constitution and Human Rights,LAWS101,"course_master,semester"
C_72ab44e917,Health Psychology,health psychology,Health Psychology,PSYC306,minor
C_bba4f44215,Human Centric AI,human centric ai,Human Centric AI,DATA207,"course_master,semester"
C_6505c96d88,Human Values in Work and Life,human values in work and life,Human Values in Work and Life,SLAD206,"course_master,semester"
C_88e95e1922,Humanistic Leadership Development,humanistic leadership development,Humanistic Leadership Development,UCOR215,"course_master,semester"
C_c7c260bc72,Indian Economy,indian economy,Indian Economy,ECON315,minor
C_6f461564fd,Industrial Economics,industrial economics,Industrial Economics,ECON413,minor
C_2a540810c7,Information Architecture and Design,information architecture and design,Information Architecture and Design,CDES221,minor
C_035881a3a1,Integrated Marketing Communications,integrated marketing communications,Integrated Marketing Communications,MGMT304,minor
C_6bf53b712e,"Integrative Studio II- Sensemaking, Visualization",integrative studio ii sensemaking visualization,"Integrative Studio II- Sensemaking, Visualization",CDES702,minor
C_633671655d,Integrative Studio VI- Exhibition/Museum,integrative studio vi exhibition museum,Integrative Studio VI- Exhibition/Museum,CDES704,minor
C_258ce92290,Intellectual Property Rights,intellectual property rights,Intellectual Property Rights,LAWE301,minor
C_b61a62e1a7,Inter-Desciplinary Project,inter desciplinary project,Inter-Desciplinary Project,DATA802,semester
C_fc0c860205,Interaction Design- UI UX,interaction design ui ux,Interaction Design- UI UX,CDES402,minor
C_849ebcf0bd,Interdisciplinary Project,interdisciplinary project,Interdisciplinary Project,DATA802,"course_master,semester"
C_2c144cfe99,International Economics,international economics,International Economics,ECON301,minor
C_39f6f53ec8,Internet of Things,internet of things,Internet of Things,COMP302,"course_master,semester"
C_4ffe49d5dc,Introduction To Fintech,introduction to fintech,Introduction To Fintech,MGMT213,minor
C_57c3b2bbf1,Introduction to Alternative Dispute Resolution Methods,introduction to alternative dispute resolution methods,Introduction to Alternative Dispute Resolution Methods,LAWC410,minor
C_59279ed074,Introduction to Epistemology,introduction to epistemology,Introduction to Epistemology,UCOR201,"course_master,semester"
C_eb059f1681,Introduction to Financial Accounting,introduction to financial accounting,Introduction to Financial Accounting,MGMT208,minor
C_17c7dc91c8,Introduction to Financial Accounting (R ),introduction to financial accounting r,Introduction to Financial Accounting (R ),MGMT330,minor
C_17c7dc91c8,R,r,Introduction to Financial Accounting (R ),MGMT330,minor
C_17c7dc91c8,Introduction to Financial Accounting,introduction to financial accounting,Introduction to Financial Accounting (R ),MGMT330,minor
C_17c7dc91c8,Introduction to Financial Accounting (R),introduction to financial accounting r,Introduction to Financial Accounting (R),MGMT330,minor
C_17c7dc91c8,Introduction to Financial Accounting,introduction to financial accounting,Introduction to Financial Accounting (R),MGMT330,minor
C_17c7dc91c8,R,r,Introduction to Financial Accounting (R),MGMT330,minor
C_58422addb5,Introduction to Political science,introduction to political science,Introduction to Political science,LAWP101,minor
C_34dcdf03c3,Introduction to Psychology/Introduction to Economics,introduction to psychology introduction to economics,Introduction to Psychology/Introduction to Economics,PSYC101/ECON101,"course_master,semester"
C_beacdfd90d,Introduction to Psychology/Principles of Economics,introduction to psychology principles of economics,Introduction to Psychology/Principles of Economics,PSCY102/ECON105,"course_master,semester"
C_e75135a183,Introduction to writing,introduction to writing,Introduction to writing,UCOR102,"course_master,semester"
C_6f966912b7,Kannada/ Language,kannada language,Kannada/ Language,LANG101,semester
C_e11523c5ff,Language,language,Language,LANG101,"course_master,semester"
C_215debb95d,Law Relating to start-ups,law relating to start ups,Law Relating to start-ups,LAWM306,minor
C_973833fe41,Leadership and Teamwork Skills,leadership and teamwork skills,Leadership and Teamwork Skills,UCOR203,"course_master,semester"
C_64a79d30f3,Learning to Learn,learning to learn,Learning to Learn,UCOR106,"course_master,semester"
C_79239bdb45,Legal Methods,legal methods,Legal Methods,LAWS301,minor
C_52990ac5d4,Lifespan Development I,lifespan development i,Lifespan Development I,PSYC104,minor
C_2b9762b737,Linear Algebra,linear algebra,Linear Algebra,MATH204,"course_master,semester"
C_824efac09f,MLOps & Model Deployment,mlops model deployment,MLOps & Model Deployment,DATA303,"course_master,semester"
C_dad3b4d79f,Machine Learning,machine learning,Machine Learning,DATA301,"course_master,semester"
C_81a18e6999,Macroeconomics I,macroeconomics i,Macroeconomics I,ECON209,minor
C_b9bad21068,Macroeconomics and Applicants to Indian Economy,macroeconomics and applicants to indian economy,Macroeconomics and Applicants to Indian Economy,ECON207,minor
C_dcfc9d79d5,Making with Reframed Media,making with reframed media,Making with Reframed Media,CDES217,minor
C_656dd53d0d,Marketing Analytics,marketing analytics,Marketing Analytics,MGMT320,minor
C_5bf5c78e24,Marketing Management,marketing management,Marketing Management,MKTG201,minor
C_cf4a4520b2,Materials for Smart Devices,materials for smart devices,Materials for Smart Devices,MTSC111,"course_master,semester"
C_aacaf77bba,Microeconomics,microeconomics,Microeconomics,ECON201,minor
C_b86818a456,Microeconomics I,microeconomics i,Microeconomics I,ECON208,minor
C_1fd3035817,Microprocessors and Computer Architecture,microprocessors and computer architecture,Microprocessors and Computer Architecture,COMP206,"course_master,semester"
C_c8d43958c2,Moral Philosophy and Justice,moral philosophy and justice,Moral Philosophy and Justice,LAWE200,minor
C_517103d2ae,Motion Graphic Design,motion graphic design,Motion Graphic Design,CDES203,minor
C_f80649f38f,Multivariate Calculus,multivariate calculus,Multivariate Calculus,MATH208,"course_master,semester"
C_1cfc68a24e,Natural Language Processing,natural language processing,Natural Language Processing,DATA403,semester
C_ec1fde8a67,Networks,networks,Networks,COMP208,"course_master,semester"
C_6c830332bb,Object Oriented Programming,object oriented programming,Object Oriented Programming,COMP205,"course_master,semester"
C_fd5f2829bb,Operating Systems,operating systems,Operating Systems,COMP207,"course_master,semester"
C_c2dd5ea99d,Optimization Techniques for Data Science,optimization techniques for data science,Optimization Techniques for Data Science,MATH301,"course_master,semester"
C_23d238c021,Political Science I,political science i,Political Science I,LAWP100,minor
C_6cb128cbb8,Probability Theory,probability theory,Probability Theory,MATH202,"course_master,semester"
C_b2a263edb8,Probability and Statistics,probability and statistics,Probability and Statistics,MATH203,"course_master,semester"
C_0c304fc982,Problem Solving with Design Thinking,problem solving with design thinking,Problem Solving with Design Thinking,UCOR104,"course_master,semester"
C_cf36258245,Product Development,product development,Product Development,MGMT326,minor
C_ce01cd464f,Programming in Python,programming in python,Programming in Python,DATA103,"course_master,semester"
C_12842083b7,Psychological Testing and Measurement,psychological testing and measurement,Psychological Testing and Measurement,PSYC303,minor
